date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:04:51	26374/26374	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Dec%202019%2010:05:02%20GMT	https://paidalts.com/	C:/My%20Web%20Sites/Alt/paidalts.com/index.html	(from )
14:04:51	46/46	---M--	404	error ('Not%20Found')	text/plain	date:Tue,%2010%20Dec%202019%2010:05:02%20GMT	https://paidalts.com/robots.txt		(from )
14:04:53	132318/132318	---MCZ	200	added ('OK')	text/css	etag:W/%225de2f215-204de%22	https://bootswatch.com/3/paper/bootstrap.min.css	C:/My%20Web%20Sites/Alt/bootswatch.com/3/paper/bootstrap.min.css	(from https://paidalts.com/)
14:04:54	41065/41065	---MCZ	200	added ('OK')	text/css	etag:W/%22d61bfe9b56c13ecff5313ee3abb45e8b%22	https://use.fontawesome.com/releases/v5.0.13/css/all.css	C:/My%20Web%20Sites/Alt/use.fontawesome.com/releases/v5.0.13/css/all.css	(from https://paidalts.com/)
14:04:54	730/730	---MC-	200	added ('OK')	text/css	date:Tue,%2010%20Dec%202019%2010:05:05%20GMT	https://fonts.googleapis.com/css?family=Open+Sans:400,600,700.css	C:/My%20Web%20Sites/Alt/fonts.googleapis.com/cssa823.css	(from https://paidalts.com/)
14:04:55	1633/1633	---MCZ	200	added ('OK')	text/css	etag:W/%228a7-164a5f36154%22	https://paidalts.com/main.css	C:/My%20Web%20Sites/Alt/paidalts.com/main.css	(from https://paidalts.com/)
14:04:56	3613/3613	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Dec%202019%2010:05:07%20GMT	https://paidalts.com/generator.php	C:/My%20Web%20Sites/Alt/paidalts.com/generator.html	(from https://paidalts.com/)
14:04:56	5572/5572	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Dec%202019%2010:05:07%20GMT	https://paidalts.com/contact	C:/My%20Web%20Sites/Alt/paidalts.com/contact.html	(from https://paidalts.com/)
14:04:57	0/0	---M--	302	error ('Found')	text/plain	etag:%220-2jmj7l5rSw0yVb/vlWAYkK/YBwk%22	https://paidalts.com/twitter	C:/My%20Web%20Sites/Alt/paidalts.com/twitter	(from https://paidalts.com/)
14:04:57	4763/4763	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Dec%202019%2010:05:08%20GMT	https://paidalts.com/tos	C:/My%20Web%20Sites/Alt/paidalts.com/tos.html	(from https://paidalts.com/)
